question,ground_truth
What is a Management Point in SCCM?,"A Management Point enables communication between Configuration Manager clients and the site server."
What is the role of a Distribution Point?,"A Distribution Point stores and distributes content such as applications, packages, operating system images, and software updates to clients."
What are Boundary Groups?,"Boundary Groups associate network boundaries with site systems and determine content location and site assignment."
How do you configure Boundary Groups?,"Boundary Groups are configured by creating boundaries, grouping them, and assigning site systems."
What are Discovery Methods in SCCM?,"Discovery Methods locate users, devices, and network resources so they can be managed by Configuration Manager."
What are Client Settings?,"Client Settings configure the behavior of Configuration Manager clients, including inventory, software updates, and remote control."
How do you configure Client Settings?,"Client Settings are configured using default or custom client settings that are deployed to device or user collections."
What is Hardware Inventory?,"Hardware Inventory collects hardware information from managed devices and stores it in the Configuration Manager database."
What is Software Inventory?,"Software Inventory collects information about files on managed devices."
What are Configuration Items?,"Configuration Items define desired configuration settings that can be evaluated for compliance."
What are Configuration Baselines?,"Configuration Baselines contain one or more configuration items used to assess device compliance."
What are Device Collections?,"Device Collections are groups of devices used for deployments, administration, and management."
What is CMPivot?,"CMPivot is a real-time query tool that allows administrators to query managed devices."
What is PXE deployment?,"PXE deployment enables computers to boot over the network and install an operating system."
What are Boot Images?,"Boot Images provide the Windows PE environment required for operating system deployment."
What are Operating System Images?,"Operating System Images contain the Windows installation files used during OS deployment."
How are Drivers managed in SCCM?,"Drivers are imported, categorized, and added to driver packages for operating system deployment."
What is Software Metering?,"Software Metering monitors application usage on managed devices."
What is Reporting in SCCM?,"Reporting provides access to Configuration Manager data through SQL Server Reporting Services."
What is Role-Based Administration?,"Role-Based Administration controls administrative permissions using security roles, scopes, and collections."
What are Maintenance Windows?,"Maintenance Windows define when Configuration Manager operations such as deployments can occur."
What is the Content Library?,"The Content Library stores deployment content on Distribution Points."
How does Backup and Recovery work in SCCM?,"Backup and Recovery protects the Configuration Manager site database and site settings."
What is Database Replication?,"Database Replication synchronizes Configuration Manager data between sites."
What is a Site Hierarchy?,"A Site Hierarchy is the organizational structure of Central Administration Sites, Primary Sites, and Secondary Sites."
What is Co-management?,"Co-management allows devices to be managed simultaneously by Configuration Manager and Microsoft Intune."
What is Software Update Management?,"Software Update Management enables administrators to deploy and manage software updates."
How do you install a Software Update Point?,"The Software Update Point is installed as a site system role and integrated with WSUS."
How do you configure Products and Classifications?,"Products and Classifications determine which updates are synchronized from WSUS."
How do you synchronize Software Updates?,"Software Updates are synchronized between WSUS and Configuration Manager."
How do you manually deploy Software Updates?,"Manual deployment creates and deploys software update groups to target collections."
What are Automatic Deployment Rules (ADR)?,"Automatic Deployment Rules automatically create, download, and deploy software updates."
How do you monitor Software Updates?,"Software Update monitoring uses the Configuration Manager console to track deployment status and compliance."
What is the difference between Hardware Inventory and Software Inventory?,"Hardware Inventory collects hardware configuration data, while Software Inventory collects information about files on client devices."
What is the purpose of Collections in SCCM?,"Collections organize users and devices for software deployment, configuration, and administration."
What is the purpose of Configuration Baselines?,"Configuration Baselines evaluate device compliance against defined configuration settings."
What is the purpose of Maintenance Windows?,"Maintenance Windows ensure deployments occur only during approved maintenance periods."
How does CMPivot differ from Hardware Inventory?,"CMPivot provides real-time device queries, while Hardware Inventory collects scheduled inventory data."
What is the relationship between Boundary Groups and Distribution Points?,"Boundary Groups help clients locate the appropriate Distribution Points for content."
What is the purpose of the Software Update Point?,"The Software Update Point integrates Configuration Manager with WSUS to manage software updates."
